2022-05-16 00:06:24.323 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:06:24.323 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:06:54.327 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:06:54.329 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:06:54.335 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:06:54.338 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:06:54.339 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:06:54.344 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:06:54.345 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:07:24.352 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:07:24.354 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:07:24.357 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:07:24.360 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:07:24.366 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:07:24.368 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
